block,PCR,plate_ID,vial_ID,temp,emerged,sex,fly_no.,date_pupated,date_emerged,pupation,survived_to_mating,date_mated,M_male_survived_mating,M_female_survived_mating,M_female_survived_laying,M_larval,M_adults,F_female_survived_mating,F_male_survived_mating,F_female_survived_laying1,F_egg1,F_larval1,F_adults1,F_female_survived_laying2,F_egg2,F_larval2,F_adults2,F_female_survived_laying3,F_egg3,F_larval3,F_adults3
3,2,2,7,34,1,0,47,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,5,1,4,1,12,1,4,1,8,1,3
3,1,1,2,28,1,0,48,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,28,1,25,1,15,1,14,1,4,1,4
3,1,1,2,28,1,0,49,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,26,1,33,1,0,1,1,1,1,1,1
3,1,1,2,28,1,0,50,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,13,1,16,1,0,1,1,1,12,1,10
3,1,1,6,29.9,1,0,51,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,,,,,,,,,,,,,,
3,1,1,6,29.9,1,0,52,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,37,1,42,1,8,1,6,1,14,1,11
3,1,1,6,29.9,1,0,53,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,14,1,7,1,4,1,4,1,11,1,4
3,1,1,11,32.6,1,0,54,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,43,1,23,1,4,1,1,1,7,1,3
3,1,1,11,32.6,1,0,55,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,0,0,0,,0,,,,0,,,
3,1,1,11,32.6,1,0,56,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,0,0,0,,0,,,,0,,,
3,1,1,1,28,1,0,57,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,18,1,23,1,4,1,4,1,2,1,1
3,1,1,1,28,1,0,58,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,24,1,21,1,5,1,6,1,2,1,1
3,1,1,1,28,1,0,59,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,35,1,26,1,3,1,4,1,10,1,10
3,1,1,1,28,1,0,60,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,31,1,24,1,1,1,1,1,1,1,1
3,1,1,1,28,1,0,61,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,44,1,39,1,9,1,9,1,0,0,0
3,1,1,1,28,1,0,62,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,,,,,,,,,,,,,,
3,1,1,6,29.9,1,0,63,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,32,1,23,1,1,1,1,1,10,1,6
3,1,1,7,29.9,1,0,64,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,13,1,9,1,1,1,1,1,2,1,2
3,1,1,7,29.9,1,0,65,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,31,1,31,1,0,1,8,1,1,1,1
3,1,1,7,29.9,1,0,66,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,34,1,34,1,5,1,6,1,4,1,6
3,1,1,7,29.9,1,0,67,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,35,1,32,1,6,1,1,1,2,1,5
3,1,1,6,29.9,1,0,68,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,24,1,29,1,0,1,2,1,1,1,1
3,1,1,6,29.9,1,0,69,14/02/2018,17/02/2018,3,1,23/02/2018,,,,,,1,2,1,37,1,35,1,1,1,1,1,1,1,1
3,1,1,12,32.6,1,0,70,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,39,1,25,1,0,1,1,1,7,1,6
3,1,1,12,32.6,1,0,71,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,4,1,3,1,0,0,0,0,,,
3,2,2,3,34,1,0,72,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,0,0,0,,0,,,,0,,,
3,1,1,2,28,1,0,73,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,27,27,32,1,,,,,,,
3,1,1,2,28,1,0,74,14/02/2018,18/02/2018,4,1,23/02/2018,,,,,,1,2,1,21,21,20,1,10,1,10,1,1,1,1
3,1,1,12,32.6,1,0,,14/02/2018,18/02/2018,4,0,,,,,,,,,,,,,,,,,,,,
3,1,1,7,29.9,1,0,,14/02/2018,17/02/2018,3,0,,,,,,,,,,,,,,,,,,,,
3,1,1,7,29.9,1,0,,14/02/2018,17/02/2018,3,0,,,,,,,,,,,,,,,,,,,,
3,1,1,2,28,1,0,,14/02/2018,17/02/2018,3,0,,,,,,,,,,,,,,,,,,,,
3,1,1,1,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,1,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,6,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,6,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,6,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,7,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,7,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,7,29.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,11,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,1,12,32.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,2,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,3,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,5,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,5,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,2,5,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,
